zip,city,region,district
15201,hai phong,east,district #13
15202,phu ly,east,district #13
15203,viet tri,east,district #13
15204,bac giang,east,district #13
15205,bac giang,east,district #13
15206,lao cai,east,district #13
15207,hai phong,east,district #13
15208,viet tri,east,district #13
15209,ha long,east,district #13
15210,hai phong,east,district #13
15211,cam pha,east,district #13
15212,son tay,east,district #13
15213,phu ly,east,district #13
15214,phu ly,east,district #13
15215,phu ly,east,district #13
15216,ninh binh,east,district #13
15217,cam pha,east,district #13
15218,hai phong,east,district #13
15219,ninh binh,east,district #13
15220,bac giang,east,district #13
15221,cam pha,east,district #13
15222,bac ninh,east,district #13
15223,ha long,east,district #13
15224,lao cai,east,district #13
15225,phu ly,east,district #13
15226,viet tri,east,district #13
15227,bac ninh,east,district #13
15228,ninh binh,east,district #13
15229,cam pha,east,district #13
15230,bac giang,east,district #13
15231,bac giang,east,district #13
15232,nam dinh,east,district #13
15233,hai phong,east,district #13
15234,cam pha,east,district #13
15235,lao cai,east,district #13
15236,hanoi,east,district #13
15237,lao cai,east,district #13
15238,ninh binh,east,district #13
15239,nam dinh,east,district #13
15240,uong bi,east,district #13
15241,ha long,east,district #13
15242,phu ly,east,district #13
15243,viet tri,east,district #13
15244,thai nguyen,east,district #13
15250,hanoi,east,district #13
15251,son tay,east,district #13
15252,bac giang,east,district #13
15253,lao cai,east,district #13
15254,viet tri,east,district #13
15255,phu ly,east,district #13
15257,phu ly,east,district #13
15258,ha long,east,district #13
15259,bac ninh,east,district #13
15260,bac giang,east,district #13
15261,bac giang,east,district #13
15262,hanoi,east,district #13
15264,cam pha,east,district #13
15265,ha long,east,district #13
15267,phu ly,east,district #13
15268,viet tri,east,district #13
15270,lao cai,east,district #13
15272,phu ly,east,district #13
15274,bac ninh,east,district #13
15275,son tay,east,district #13
15276,bac ninh,east,district #13
15277,thai nguyen,east,district #13
15278,lao cai,east,district #13
15279,bac ninh,east,district #13
15281,hai phong,east,district #13
15282,bac giang,east,district #13
15283,ninh binh,east,district #13
15286,ha long,east,district #13
15289,bac giang,east,district #13
15290,hai phong,east,district #13
15295,viet tri,east,district #13
15937,bac giang,east,district #13
15938,thai nguyen,east,district #13
15940,nam dinh,east,district #13
15942,cam pha,east,district #13
15943,viet tri,east,district #13
15944,son tay,east,district #13
15945,bac giang,east,district #13
15946,ha long,east,district #13
15948,ninh binh,east,district #13
15949,uong bi,east,district #13
15951,viet tri,east,district #13
15952,hai phong,east,district #13
15953,thai nguyen,east,district #13
15954,phu ly,east,district #13
15955,ninh binh,east,district #13
15956,bac giang,east,district #13
15957,ninh binh,east,district #13
15958,ninh binh,east,district #13
15959,bac ninh,east,district #13
15960,lao cai,east,district #13
15961,thai nguyen,east,district #13
15962,nam dinh,east,district #13
15963,viet tri,east,district #13
16001,uong bi,east,district #13
16002,hai phong,east,district #13
16003,ninh binh,east,district #13
16016,ha long,east,district #13
16017,ninh binh,east,district #13
16018,hanoi,east,district #13
16020,ninh binh,east,district #13
16021,ninh binh,east,district #13
16022,phu ly,east,district #13
16023,viet tri,east,district #13
16024,bac giang,east,district #13
16025,viet tri,east,district #13
16027,nam dinh,east,district #13
16028,phu ly,east,district #13
16029,cam pha,east,district #13
16030,bac giang,east,district #13
16033,cam pha,east,district #13
16034,cam pha,east,district #13
16035,hanoi,east,district #13
16036,hai phong,east,district #13
16037,nam dinh,east,district #13
16038,hai phong,east,district #13
16039,bac giang,east,district #13
